response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0110,0.0000,0.0000,0.0000,0.0042,0.0068,200,0.0622
0.0110,0.0000,0.0000,0.0000,0.0043,0.0067,200,0.0622
0.0110,0.0000,0.0000,0.0000,0.0045,0.0065,200,0.0623
0.0110,0.0000,0.0000,0.0000,0.0046,0.0064,200,0.0623
0.0110,0.0000,0.0000,0.0000,0.0048,0.0062,200,0.0623
0.0110,0.0000,0.0000,0.0000,0.0049,0.0061,200,0.0624
0.0110,0.0000,0.0000,0.0000,0.0051,0.0059,200,0.0624
0.0752,0.0036,0.0004,0.0000,0.0637,0.0079,200,0.0003
0.0103,0.0000,0.0000,0.0000,0.0031,0.0072,200,0.0653
0.0103,0.0000,0.0000,0.0000,0.0032,0.0070,200,0.0653
0.0103,0.0000,0.0000,0.0000,0.0034,0.0069,200,0.0653
0.0103,0.0000,0.0000,0.0000,0.0035,0.0068,200,0.0654
0.0103,0.0000,0.0000,0.0000,0.0037,0.0066,200,0.0654
0.0103,0.0000,0.0000,0.0000,0.0038,0.0065,200,0.0654
0.0103,0.0000,0.0000,0.0000,0.0040,0.0063,200,0.0655
0.0103,0.0000,0.0000,0.0000,0.0041,0.0062,200,0.0655
0.0103,0.0000,0.0000,0.0000,0.0042,0.0060,200,0.0655
0.0103,0.0000,0.0000,0.0000,0.0044,0.0059,200,0.0656
0.0756,0.0037,0.0005,0.0000,0.0662,0.0058,200,0.0003
0.0106,0.0000,0.0000,0.0000,0.0032,0.0074,200,0.0677
0.0106,0.0000,0.0000,0.0000,0.0033,0.0073,200,0.0677
0.0106,0.0000,0.0000,0.0000,0.0035,0.0071,200,0.0677
0.0106,0.0000,0.0000,0.0000,0.0037,0.0069,200,0.0678
0.0106,0.0000,0.0000,0.0000,0.0038,0.0068,200,0.0678
0.0106,0.0000,0.0000,0.0000,0.0039,0.0066,200,0.0678
0.0106,0.0000,0.0000,0.0000,0.0041,0.0065,200,0.0679
0.0106,0.0000,0.0000,0.0000,0.0043,0.0063,200,0.0679
0.0106,0.0000,0.0000,0.0000,0.0044,0.0062,200,0.0679
0.0106,0.0000,0.0000,0.0000,0.0046,0.0060,200,0.0680
0.0106,0.0000,0.0000,0.0000,0.0047,0.0059,200,0.0680
0.0106,0.0000,0.0000,0.0000,0.0049,0.0057,200,0.0680
0.0785,0.0037,0.0006,0.0000,0.0692,0.0056,200,0.0002
0.0109,0.0000,0.0000,0.0000,0.0036,0.0073,200,0.0702
0.0109,0.0000,0.0000,0.0000,0.0038,0.0071,200,0.0702
0.0109,0.0000,0.0000,0.0000,0.0039,0.0070,200,0.0703
0.0109,0.0000,0.0000,0.0000,0.0041,0.0068,200,0.0703
0.0109,0.0000,0.0000,0.0000,0.0042,0.0067,200,0.0703
0.0109,0.0000,0.0000,0.0000,0.0044,0.0065,200,0.0703
0.0109,0.0000,0.0000,0.0000,0.0046,0.0063,200,0.0704
0.0109,0.0000,0.0000,0.0000,0.0049,0.0060,200,0.0704
0.0810,0.0036,0.0005,0.0000,0.0716,0.0058,200,0.0003
0.0109,0.0000,0.0000,0.0000,0.0047,0.0062,200,0.0704
0.0109,0.0000,0.0000,0.0000,0.0035,0.0074,200,0.0731
0.0109,0.0000,0.0000,0.0000,0.0037,0.0072,200,0.0732
0.0109,0.0000,0.0000,0.0000,0.0038,0.0071,200,0.0732
0.0109,0.0000,0.0000,0.0000,0.0040,0.0069,200,0.0732
0.0109,0.0000,0.0000,0.0000,0.0041,0.0068,200,0.0732
0.0109,0.0000,0.0000,0.0000,0.0042,0.0066,200,0.0733
0.0109,0.0000,0.0000,0.0000,0.0044,0.0065,200,0.0733
0.0108,0.0000,0.0000,0.0000,0.0045,0.0063,200,0.0734
0.0108,0.0000,0.0000,0.0000,0.0047,0.0061,200,0.0734
0.0840,0.0036,0.0008,0.0000,0.0743,0.0060,200,0.0003
