response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.0139,0.0000,0.0000,0.0000,1.0139,0.0000,200,2.0429
1.0173,0.0000,0.0000,0.0000,1.0156,0.0018,200,2.0430
1.0200,0.0000,0.0000,0.0000,1.0187,0.0013,200,2.0430
1.0200,0.0000,0.0000,0.0000,1.0200,0.0000,200,2.0430
1.0200,0.0000,0.0000,0.0000,1.0200,0.0000,200,2.0431
1.0200,0.0000,0.0000,0.0000,1.0200,0.0000,200,2.0431
1.0215,0.0000,0.0000,0.0000,1.0215,0.0000,200,2.0431
1.0215,0.0000,0.0000,0.0000,1.0215,0.0000,200,2.0432
1.0239,0.0000,0.0000,0.0000,1.0229,0.0010,200,2.0432
1.0249,0.0000,0.0000,0.0000,1.0248,0.0000,200,2.0433
1.0268,0.0000,0.0000,0.0000,1.0258,0.0010,200,2.0433
1.0287,0.0000,0.0000,0.0000,1.0277,0.0010,200,2.0434
1.0304,0.0000,0.0000,0.0000,1.0304,0.0000,200,2.0435
1.0304,0.0000,0.0000,0.0000,1.0296,0.0009,200,2.0435
1.0304,0.0000,0.0000,0.0000,1.0304,0.0000,200,2.0436
1.0303,0.0000,0.0000,0.0000,1.0303,0.0000,200,2.0437
1.0303,0.0000,0.0000,0.0000,1.0303,0.0000,200,2.0438
1.0303,0.0000,0.0000,0.0000,1.0303,0.0000,200,2.0438
1.0303,0.0000,0.0000,0.0000,1.0303,0.0000,200,2.0439
1.0303,0.0000,0.0000,0.0000,1.0303,0.0000,200,2.0439
1.0303,0.0000,0.0000,0.0000,1.0303,0.0000,200,2.0439
1.0303,0.0000,0.0000,0.0000,1.0303,0.0000,200,2.0440
1.0303,0.0000,0.0000,0.0000,1.0303,0.0000,200,2.0440
1.0303,0.0000,0.0000,0.0000,1.0303,0.0000,200,2.0441
1.0303,0.0000,0.0000,0.0000,1.0303,0.0000,200,2.0441
1.0048,0.0000,0.0000,0.0000,1.0045,0.0003,200,3.0258
1.0027,0.0000,0.0000,0.0001,1.0024,0.0001,200,3.0289
1.0028,0.0000,0.0000,0.0000,1.0027,0.0001,200,3.0293
1.0021,0.0000,0.0000,0.0000,1.0020,0.0001,200,3.0414
1.0012,0.0000,0.0000,0.0000,1.0011,0.0001,200,3.0426
1.0014,0.0000,0.0000,0.0000,1.0012,0.0002,200,3.0428
1.0028,0.0000,0.0000,0.0000,1.0027,0.0000,200,3.0430
1.0023,0.0000,0.0000,0.0000,1.0022,0.0000,200,3.0438
1.0025,0.0000,0.0000,0.0000,1.0024,0.0000,200,3.0439
1.0028,0.0000,0.0000,0.0000,1.0027,0.0000,200,3.0441
1.0035,0.0000,0.0000,0.0000,1.0034,0.0001,200,3.0442
1.0051,0.0000,0.0000,0.0000,1.0051,0.0000,200,3.0450
1.0052,0.0000,0.0000,0.0000,1.0052,0.0000,200,3.0452
1.0053,0.0000,0.0000,0.0000,1.0052,0.0000,200,3.0453
1.0053,0.0000,0.0000,0.0000,1.0053,0.0000,200,3.0454
1.0053,0.0000,0.0000,0.0000,1.0052,0.0001,200,3.0456
1.0062,0.0000,0.0000,0.0000,1.0062,0.0000,200,3.0457
1.0276,0.0000,0.0000,0.0000,1.0266,0.0010,200,3.0517
1.0276,0.0000,0.0000,0.0000,1.0265,0.0009,200,3.0535
1.0276,0.0000,0.0000,0.0000,1.0275,0.0000,200,3.0545
1.0277,0.0000,0.0000,0.0000,1.0276,0.0000,200,3.0545
1.0278,0.0000,0.0000,0.0000,1.0275,0.0003,200,3.0545
1.0277,0.0000,0.0000,0.0000,1.0276,0.0001,200,3.0546
1.0283,0.0000,0.0000,0.0000,1.0283,0.0000,200,3.0546
1.0336,0.0000,0.0000,0.0000,1.0318,0.0017,200,3.0547
1.0346,0.0000,0.0000,0.0000,1.0332,0.0014,200,3.0568
1.0337,0.0000,0.0000,0.0000,1.0324,0.0013,200,3.0603
1.0321,0.0000,0.0000,0.0000,1.0321,0.0000,200,3.0630
1.0341,0.0000,0.0000,0.0000,1.0331,0.0010,200,3.0630
1.0381,0.0000,0.0000,0.0000,1.0362,0.0019,200,3.0631
1.0381,0.0000,0.0000,0.0000,1.0381,0.0000,200,3.0631
1.0366,0.0000,0.0000,0.0000,1.0366,0.0000,200,3.0647
1.0367,0.0000,0.0000,0.0000,1.0367,0.0000,200,3.0647
1.0344,0.0000,0.0000,0.0000,1.0344,0.0000,200,3.0671
1.0334,0.0000,0.0000,0.0000,1.0334,0.0000,200,3.0681
1.0315,0.0000,0.0000,0.0000,1.0314,0.0000,200,3.0701
1.0295,0.0000,0.0000,0.0000,1.0295,0.0000,200,3.0721
1.0278,0.0000,0.0000,0.0000,1.0278,0.0000,200,3.0739
